date,ticker,type,price,shares,amount,commission,reason
2021-09-29,7974,SELL,4808.3297265625,400,1922274.058085156,1057.8325398437498,Window filled (reached pre-ex price 4818)
2021-10-05,9984,SELL,5873.42687109375,300,1761058.9458943948,969.1154337304689,Stop loss triggered (-10.9%)
2021-10-11,6098,SELL,7041.376817382812,300,2111313.0452148435,1100.0,Window filled (reached pre-ex price 6962)
2021-10-15,6758,SELL,2532.8114326171876,900,2278430.289355469,1100.0,Window filled (reached pre-ex price 2538)
2021-10-26,9432,SELL,116.84102969360352,26500,3095187.286880493,1100.0,Window filled (reached pre-ex price 113)
2021-10-26,8306,SELL,563.7429353027344,4800,2704866.089453125,1100.0,Max holding period reached (20 days)
2021-10-26,9433,SELL,1646.962169921875,1000,1646056.340728418,905.8291934570314,Max holding period reached (20 days)
2021-10-26,4063,SELL,3633.0993666992185,600,2178759.6200195313,1100.0,Max holding period reached (20 days)
2022-03-29,7203,BUY,2056.5591522216796,400,823173.6608886719,550.0,Entry 3 days before record date
2022-03-29,6758,BUY,2562.4491870117185,300,769284.7561035155,550.0,Entry 3 days before record date
2022-03-29,9432,BUY,132.13853050231933,7600,1004805.1708751265,552.3390574996948,Entry 3 days before record date
2022-03-29,8306,BUY,705.6752508544921,1400,988495.351196289,550.0,Entry 3 days before record date
2022-03-29,9433,BUY,1870.7859082031248,500,935942.9541015624,550.0,Entry 3 days before record date
2022-03-29,4063,BUY,3567.4933520507807,200,714048.6704101561,550.0,Entry 3 days before record date
2022-03-29,9984,BUY,5401.374953613281,100,540687.4953613281,550.0,Entry 3 days before record date
2022-03-29,6098,BUY,5482.018352050781,100,548751.8352050781,550.0,Entry 3 days before record date
2022-03-29,7974,BUY,6112.103789062499,100,611760.3789062499,550.0,Entry 3 days before record date
2022-03-30,7203,BUY,2037.1056298828125,400,815392.251953125,550.0,Add position on ex-dividend drop (0.6%)
2022-03-30,9432,BUY,130.61244909667968,7700,1006269.0017663579,553.1437219244385,Add position on ex-dividend drop (0.9%)
2022-03-30,8306,BUY,698.6160007324219,1400,978612.4010253906,550.0,Add position on ex-dividend drop (0.7%)
2022-03-30,9433,BUY,1816.813875,500,908956.9375,550.0,Add position on ex-dividend drop (2.6%)
2022-03-30,9984,SELL,5493.953229980469,200,1098186.311140796,604.3348552978516,Window filled (reached pre-ex price 5401)
2022-03-30,6098,SELL,5527.206538085938,200,1104833.314897998,607.9927191894532,Window filled (reached pre-ex price 5482)
2022-03-30,7974,BUY,5867.127826171875,100,587262.7826171875,550.0,Add position on ex-dividend drop (3.7%)
2022-03-31,4063,SELL,3540.4747827148435,400,1415411.0086337402,778.9044521972656,Window filled (reached pre-ex price 3550)
2022-04-01,9432,SELL,131.2908928527832,22900,3005461.4463287354,1100.0,Window filled (reached pre-ex price 131)
2022-04-04,9433,SELL,1859.1194025878906,1500,2787579.103881836,1100.0,Window filled (reached pre-ex price 1861)
2022-04-12,6758,SELL,2247.0905625,600,1347512.797614375,741.539885625,Stop loss triggered (-12.2%)
2022-04-20,7203,SELL,2065.5561655273436,1200,2477567.3986328123,1100.0,Window filled (reached pre-ex price 2046)
2022-04-26,8306,SELL,667.48462109375,4200,2802335.40859375,1100.0,Max holding period reached (20 days)
